County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
ORANGE,Residential,6745.080688,6660.559695,6875.75933,7027.539817,6842.062179,7074.021243,6696.172403,6611.917293,6917.070115,7138.559207,6867.750651,6851.103743,6717.035444,6570.917474,6257.849759
ORANGE,Total,20030.54609,20139.74541,20675.32604,20834.87347,20413.34279,20544.13051,20033.47106,19819.54017,20686.53362,21545.0989,21130.35131,21325.62363,20689.34457,20379.68189,19588.50561
PLACER,Non-Residential,1490.620492,1536.053019,1529.567565,1546.175447,1514.314695,1526.624368,1542.778196,1550.784425,1584.539092,1659.792728,1678.212251,1501.618425,1433.111588,1497.078515,1412.925376
PLACER,Residential,1494.201508,1402.455219,1365.818731,1371.385081,1367.259355,1385.03952,1351.89906,1334.98727,1368.091646,1361.152214,1327.189693,1334.73222,1262.960999,1215.669029,1145.232284
PLACER,Total,2984.821999,2938.508238,2895.386296,2917.560528,2881.57405,2911.663889,2894.677256,2885.771695,2952.630737,3020.944942,3005.401944,2836.350645,2696.072586,2712.747544,2558.15766
PLUMAS,Non-Residential,127.080051,135.090753,132.827183,128.073696,141.736476,175.603156,164.470128,121.991337,123.497547,149.243422,146.910117,154.196707,125.40844,127.043336,134.445165
PLUMAS,Residential,100.160673,97.073836,91.395498,98.527385,101.517911,97.831194,101.476186,102.119736,103.35137,103.643092,103.579684,103.455291,102.518722,101.288168,96.163155
PLUMAS,Total,227.240724,232.164589,224.222681,226.601081,243.254387,273.43435,265.946314,224.111073,226.848917,252.886514,250.489801,257.651998,227.927162,228.331504,230.60832
RIVERSIDE,Non-Residential,8346.370176,8275.924076,8199.474845,8775.099956,8536.378939,8612.896343,7845.086027,7727.855456,7906.912973,8327.566932,8239.190522,8255.029738,7807.736576,7639.761613,7236.230474
RIVERSIDE,Residential,7559.940559,7196.655488,7090.413146,6776.627939,6606.599319,6675.290978,6579.905887,6336.530698,6606.966602,6772.741497,6683.145526,6903.024939,5392.832655,5019.32362,5469.54442
RIVERSIDE,Total,15906.31073,15472.57956,15289.88799,15551.7279,15142.97826,15288.18732,14424.99192,14064.38616,14513.87958,15100.30843,14922.33605,15158.05468,13200.56923,12659.08523,12705.77489
SACRAMENTO,Non-Residential,6283.61341,6055.674434,6188.144476,6258.537182,6131.164391,6118.579838,6108.526263,6188.895407,6263.720876,6397.905676,6424.637105,6245.73735,6139.143708,5921.959591,5667.032973
SACRAMENTO,Residential,5242.164487,4794.486673,4738.564168,4736.128873,4696.630528,4694.003209,4641.834529,4535.317684,4733.907101,4712.417028,4651.13687,4762.801421,4577.200189,4424.082572,4380.257286
SACRAMENTO,Total,11525.7779,10850.16111,10926.70864,10994.66606,10827.79492,10812.58305,10750.36079,10724.21309,10997.62798,11110.3227,11075.77398,11008.53877,10716.3439,10346.04216,10047.29026
SAN BENITO,Non-Residential,252.366672,262.422205,249.320035,240.410467,237.904713,214.973703,199.141554,191.977015,198.60244,198.347721,203.553603,199.058625,188.987154,194.409689,184.001869
SAN BENITO,Residential,126.940754,119.136813,118.085033,115.570436,119.585348,117.693532,116.184779,116.580686,117.324686,117.408193,119.163344,118.434274,115.968163,117.402202,114.345084
SAN BENITO,Total,379.307426,381.559018,367.405068,355.980904,357.490061,332.667235,315.326333,308.557701,315.927126,315.755914,322.716947,317.492898,304.955317,311.811891,298.346954
SAN BERNARDINO,Non-Residential,10062.00594,9952.469757,9806.131162,9983.1562,9678.784604,9576.717223,9010.78182,8879.530372,8986.865787,9895.017284,10012.84829,9649.252806,9467.588355,9286.024917,8897.857065
SAN BERNARDINO,Residential,5211.089759,4997.544199,4953.489541,4766.204869,4688.605328,4772.747052,4717.853366,4601.192617,4797.692948,4913.978699,4785.970697,4977.816006,5242.335043,5044.930376,4251.328703
SAN BERNARDINO,Total,15273.0957,14950.01396,14759.6207,14749.36107,14367.38993,14349.46427,13728.63519,13480.72299,13784.55874,14808.99598,14798.81899,14627.06881,14709.9234,14330.95529,13149.18577
SAN DIEGO,Non-Residential,12492.39629,12921.80224,13001.74539,13091.36168,12827.72104,12702.82655,12382.85143,12458.11564,12720.54381,13021.02259,12858.99683,12669.62312,12277.15212,12034.23169,11251.73839
SAN DIEGO,Residential,6853.912925,6772.676145,6883.311679,6859.133038,6796.14887,6902.840388,6681.917726,6617.350246,6781.793216,6909.270023,6745.127186,6713.707434,6325.460914,5858.415539,4820.226181
SAN DIEGO,Total,19346.30922,19694.47838,19885.05707,19950.49472,19623.86991,19605.66694,19064.76916,19075.46589,19502.33702,19930.29261,19604.12402,19383.33055,18602.61303,17892.64723,16071.96458
SAN FRANCISCO,Non-Residential,4221.186569,4294.350306,4368.426507,4405.296124,4383.532168,4363.372679,4379.21012,4238.943617,4159.904347,4244.314473,4157.648779,3841.772779,3925.93259,3699.583615,3621.30561
SAN FRANCISCO,Residential,1519.405293,1464.760679,1437.37961,1440.433202,1502.763077,1512.245494,1524.582029,1518.374937,1501.387452,1484.332562,1467.618951,1491.207341,1444.507747,1381.327792,1363.83567
SAN FRANCISCO,Total,5740.591862,5759.110985,5805.806116,5845.729327,5886.295245,5875.618173,5903.792149,5757.318554,5661.291799,5728.647035,5625.26773,5332.98012,5370.440337,5080.911407,4985.141279
SAN JOAQUIN,Non-Residential,3756.750421,3697.903004,3434.601786,3487.780972,3825.353149,3613.417924,3577.867668,3536.739728,3613.623407,3629.480165,3767.179776,4086.466127,4098.102149,3789.918018,3361.621217
SAN JOAQUIN,Residential,1908.306718,1758.859069,1745.357156,1764.035814,1739.086165,1752.000568,1706.536443,1683.746816,1725.985626,1706.341283,1700.393518,1715.359398,1652.015153,1631.761976,1575.178266
SAN JOAQUIN,Total,5665.057139,5456.762073,5179.958942,5251.816786,5564.439314,5365.418492,5284.404111,5220.486544,5339.609033,5335.821448,5467.573294,5801.825525,5750.117302,5421.679995,4936.799483
SAN LUIS OBISPO,Non-Residential,1110.313572,1101.186311,1077.679484,1094.097144,1105.958542,1059.911394,1027.309928,1011.283298,1034.466537,1063.93715,1091.993486,918.243774,929.581663,958.669498,936.44445
SAN LUIS OBISPO,Residential,668.190056,637.356382,634.625454,631.73856,660.46376,664.844718,656.047929,657.232496,668.361319,673.147331,671.528441,682.453342,651.305902,636.975261,624.945118
SAN LUIS OBISPO,Total,1778.503628,1738.542693,1712.304938,1725.835703,1766.422303,1724.756112,1683.357857,1668.515794,1702.827856,1737.084481,1763.521928,1600.697116,1580.887565,1595.644758,1561.389568
SAN MATEO,Non-Residential,2805.190087,2839.65202,2926.261661,2947.008609,2954.66348,2923.718956,2966.979548,3150.20059,3357.319427,3463.877372,3408.512661,3074.769251,2976.538923,3217.449237,3098.690347
SAN MATEO,Residential,1562.351763,1499.876504,1505.671732,1505.371839,1572.203026,1584.478299,1603.923537,1616.648647,1613.655465,1612.220082,1592.728399,1597.39754,1568.381758,1545.884184,1514.356663
SAN MATEO,Total,4367.54185,4339.528523,4431.933393,4452.380447,4526.866506,4508.197255,4570.903085,4766.849237,4970.974892,5076.097454,5001.24106,4672.166791,4544.920681,4763.333421,4613.047009
SANTA BARBARA,Non-Residential,2025.632613,2098.506808,2344.241121,2607.655164,2543.959558,2428.302295,2442.340778,2433.395295,2431.975284,2451.355668,2367.172825,2415.838449,2436.464894,2376.209608,2222.252215
SANTA BARBARA,Residential,773.690261,759.849738,766.358133,805.883676,832.530971,837.943344,801.476135,802.083483,809.491403,815.953529,813.888189,773.327901,807.323722,789.86741,773.077847
SANTA BARBARA,Total,2799.322874,2858.356546,3110.599254,3413.53884,3376.490529,3266.245639,3243.816912,3235.478778,3241.466688,3267.309197,3181.061014,3189.16635,3243.788616,3166.077018,2995.330062
SANTA CLARA,Non-Residential,13139.32091,13012.17133,13000.62659,13073.31425,12899.1091,12841.04904,12956.1498,12589.69017,12822.18287,13018.86425,12790.96658,12217.28035,11916.11138,11757.26304,11484.93587
SANTA CLARA,Residential,4050.222071,3812.26473,3859.209092,3852.266765,3918.749958,3889.82573,3926.741398,3925.833541,3971.467237,3954.553447,3898.825058,4091.072892,3884.854034,3777.564777,3856.848756
SANTA CLARA,Total,17189.54298,16824.43606,16859.83568,16925.58101,16817.85906,16730.87477,16882.8912,16515.52371,16793.65011,16973.41769,16689.79163,16308.35324,15800.96542,15534.82782,15341.78463
SANTA CRUZ,Non-Residential,661.741256,666.900018,682.64797,681.047589,681.837401,666.379542,657.989464,665.517315,684.8172,774.088972,825.547849,868.326178,836.648431,898.049552,819.459543
SANTA CRUZ,Residential,568.310114,557.507305,551.701187,557.896788,594.576974,599.535615,602.839133,603.28912,594.39048,585.165016,584.846594,567.961206,563.867798,570.869368,544.723266
SANTA CRUZ,Total,1230.05137,1224.407323,1234.349158,1238.944376,1276.414375,1265.915157,1260.828598,1268.806435,1279.20768,1359.253989,1410.394443,1436.287384,1400.516229,1468.91892,1364.182809
SHASTA,Non-Residential,811.948139,816.056877,837.248805,814.78797,795.062902,782.270627,773.171208,777.863208,810.650758,852.018583,876.760956,871.118779,865.890043,1011.873741,956.732595
SHASTA,Residential,792.076818,744.103124,729.764078,730.543553,748.121485,747.917768,746.18955,746.719475,756.690788,752.485745,741.001466,743.385601,710.115374,713.036247,689.644737
SHASTA,Total,1604.024957,1560.160001,1567.012883,1545.331522,1543.184387,1530.188395,1519.360758,1524.582683,1567.341545,1604.504328,1617.762422,1614.504381,1576.005417,1724.909988,1646.377332
SIERRA,Non-Residential,8.22514,10.137113,9.660738,10.396783,9.623227,9.372061,9.35776,9.325308,10.033662,10.599838,11.467064,9.007381,9.900346,9.507515,19.922779
SIERRA,Residential,13.618137,15.665689,14.359115,13.187279,13.83415,14.166236,14.038939,14.375856,14.39323,14.503157,16.769282,14.853535,15.222403,15.110676,15.061682
SIERRA,Total,21.843277,25.802802,24.019853,23.584062,23.457377,23.538297,23.396699,23.701165,24.426892,25.102995,28.236347,23.860916,25.122749,24.618191,34.984461
SISKIYOU,Non-Residential,268.35989,269.252611,271.487817,267.713399,265.74708,257.716385,264.510348,264.868504,277.484453,294.729358,319.318418,277.689254,274.441653,288.855996,278.418012
SISKIYOU,Residential,231.781803,217.789987,218.689488,213.840861,231.373246,227.603068,235.348271,236.593108,240.088325,246.823226,243.915767,236.536075,235.488133,229.817261,230.982636
SISKIYOU,Total,500.141693,487.042597,490.177305,481.55426,497.120325,485.319452,499.858618,501.461612,517.572778,541.552585,563.234185,514.225329,509.929786,518.673257,509.400648
SOLANO,Non-Residential,2102.244222,2186.321831,2199.347263,2210.7673,2207.674328,2173.108811,2109.53672,2060.584665,2153.984534,2146.781886,2328.690049,2112.839923,2120.687251,2064.247194,1972.347375
SOLANO,Residential,1100.848217,1020.842473,1016.376649,1010.442223,1021.483886,1020.257746,1013.34594,1003.36019,1021.028346,1029.947646,1011.930309,1052.983975,999.973148,989.503556,990.799323
SOLANO,Total,3203.09244,3207.164305,3215.723911,3221.209524,3229.158214,3193.366557,3122.88266,3063.944855,3175.01288,3176.729533,3340.620358,3165.823898,3120.660399,3053.750751,2963.146699
SONOMA,Non-Residential,1678.568605,1662.202516,1661.656412,1660.23829,1627.881938,1575.174764,1546.641716,1539.60566,1540.130809,1645.278337,1650.427611,1566.324904,1520.565672,1638.263127,1566.716984
SONOMA,Residential,1360.616025,1302.96906,1283.718184,1289.047708,1348.836569,1356.414221,1360.012116,1346.591094,1321.053828,1303.884735,1272.987877,1299.98071,1230.393491,1226.250921,1187.534122
SONOMA,Total,3039.18463,2965.171576,2945.374596,2949.285999,2976.718507,2931.588985,2906.653832,2886.196753,2861.184637,2949.163073,2923.415489,2866.305614,2750.959163,2864.514047,2754.251106
STANISLAUS,Non-Residential,2734.893825,3038.699942,3054.096946,3030.054766,2980.212036,2961.092141,2807.042744,2785.109466,2848.134324,2969.045687,2982.65519,3030.003968,2976.084023,2879.119127,2889.66119
STANISLAUS,Residential,1866.449099,1725.488195,1708.654083,1723.309509,1698.575804,1697.286996,1666.999718,1636.082413,1718.663578,1709.769175,1677.031351,1731.64233,1651.92123,1619.001674,1609.958342
STANISLAUS,Total,4601.342924,4764.188137,4762.751029,4753.364275,4678.787839,4658.379136,4474.042461,4421.191878,4566.797902,4678.814863,4659.68654,4761.646298,4628.005253,4498.120801,4499.619532
SUTTER,Non-Residential,351.653288,357.42167,373.365094,371.970143,372.228914,356.144625,341.377155,334.13491,348.540851,351.15852,347.114722,351.240626,309.947873,310.326,296.337366
SUTTER,Residential,298.579633,274.543176,274.445158,277.424902,275.424375,279.445385,271.619489,265.740867,276.956473,277.358295,273.806875,275.787567,259.03964,253.953909,245.326165
SUTTER,Total,650.232921,631.964846,647.810252,649.395045,647.653289,635.59001,612.996644,599.875778,625.497324,628.516816,620.921597,627.028193,568.987513,564.279909,541.663531
TEHAMA,Non-Residential,276.579471,266.730848,276.219257,260.813522,268.715251,266.005743,259.285709,252.69858,264.083205,275.108219,278.107657,249.373549,238.255228,246.674394,242.359267
TEHAMA,Residential,246.275494,229.926634,229.651559,231.062458,237.287413,238.703201,233.762771,233.175209,237.856355,233.977987,230.410313,227.426935,214.093879,216.06667,202.320126
TEHAMA,Total,522.854965,496.657482,505.870816,491.87598,506.002663,504.708944,493.04848,485.87379,501.93956,509.086206,508.51797,476.800484,452.349107,462.741063,444.679393
TRINITY,Non-Residential,125.789635,117.730556,101.051829,107.412887,108.320334,100.586127,109.583381,77.454181,83.031267,2.423341,1.991885,62.783185,63.824159,6.957762,15.714568
TRINITY,Residential,11.965413,10.999486,10.261935,10.421299,11.208753,11.473353,11.598747,11.276366,10.634786,9.987798,9.433199,8.57078,8.280921,8.415927,7.848777
TRINITY,Total,137.755048,128.730041,111.313763,117.834186,119.529087,112.059481,121.182128,88.730547,93.666053,12.411139,11.425084,71.353965,72.10508,15.373689,23.563345
TULARE,Non-Residential,2972.293699,3152.066245,3263.553744,3267.002018,3106.120818,2977.358171,2582.673513,2676.488309,2791.608955,2760.712692,2652.248654,2497.792147,2274.678009,2289.95361,2216.908428
TULARE,Residential,1286.162176,1221.377175,1219.385964,1223.528153,1207.791753,1182.436357,1162.176496,1139.392542,1187.638224,1161.595705,1117.295191,1191.525557,1085.246048,1046.76368,1038.091984
TULARE,Total,4258.455875,4373.44342,4482.939708,4490.530171,4313.912571,4159.794528,3744.850009,3815.880851,3979.247179,3922.308397,3769.543846,3689.317704,3359.924057,3336.71729,3255.000412
TUOLUMNE,Non-Residential,242.278755,238.527767,235.499722,234.274231,240.993867,233.7033,225.241857,212.050287,222.618567,203.576637,210.69033,503.201774,261.287533,222.674649,205.366731
TUOLUMNE,Residential,222.611271,209.324561,206.545733,206.145512,219.803474,220.364157,220.505524,222.835124,224.344464,224.550168,223.038633,219.30197,213.696094,217.96981,207.063058
TUOLUMNE,Total,464.890026,447.852329,442.045455,440.419743,460.797342,454.067457,445.747381,434.885411,446.963031,428.126806,433.728963,722.503744,474.983627,440.644459,412.429789
VENTURA,Non-Residential,3684.603504,3676.453577,3782.157683,3590.478036,3500.198082,3606.113603,3673.447111,3666.665306,3735.904606,4031.100022,3851.332255,3926.17542,3863.548941,3833.55243,3647.170067
VENTURA,Residential,1835.570771,1785.210931,1822.525154,1909.056139,1903.520128,1920.689052,1802.353129,1790.31363,1856.569146,1892.179471,1841.655365,1765.764993,1786.184805,1744.202656,1692.796422
VENTURA,Total,5520.174275,5461.664508,5604.682837,5499.534175,5403.71821,5526.802654,5475.80024,5456.978936,5592.473753,5923.279493,5692.98762,5691.940413,5649.733746,5577.755086,5339.966489
YOLO,Non-Residential,1198.504897,1197.331724,1197.794134,1231.610772,1194.028649,1163.681971,1149.773426,1105.342535,1166.03215,1113.701656,1132.282024,1201.822945,1205.947337,1053.031939,947.12791
YOLO,Residential,550.681613,508.110689,504.997365,505.718004,508.238888,510.870614,500.228432,494.710537,514.856311,508.267258,498.576896,511.971157,492.597295,474.012029,473.559677
YOLO,Total,1749.18651,1705.442413,1702.791499,1737.328776,1702.267537,1674.552585,1650.001857,1600.053073,1680.88846,1621.968914,1630.85892,1713.794102,1698.544633,1527.043968,1420.687587
YUBA,Non-Residential,273.189814,267.674821,269.201358,274.548897,276.876586,266.013317,262.526545,261.50058,307.045651,263.270724,276.528747,339.48088,334.840761,290.965887,206.742143
YUBA,Residential,234.708248,215.090257,210.034874,214.855318,212.555287,215.763758,208.767382,203.722227,205.290033,200.068673,198.67804,193.682356,183.28773,171.593596,158.208847
YUBA,Total,507.898062,482.765078,479.236233,489.404215,489.431873,481.777076,471.293926,465.222807,512.335684,463.339397,475.206788,533.163236,518.128491,462.559484,364.950989
